n_llama,n_yolos,n_bart,llama_avg_ms,yolos_avg_ms,bart_avg_ms,Llama contention ,Yolos contention,Bart contention
5,3,6,37.06769554,29.20765453,32.93938121,32.04369554,24.15765453,32.06938121
5,4,6,42.47327662,34.31967347,38.38862342,37.44927662,29.26967347,37.51862342
5,5,6,47.96824851,39.40435796,43.91916519,42.94424851,34.35435796,43.04916519
7,1,1,30.97550798,21.99804052,24.58877621,25.95150798,16.94804052,23.71877621
7,1,2,31.36229093,22.08974356,25.28697926,26.33829093,17.03974356,24.41697926
7,1,3,32.02364049,22.66055266,26.08921133,26.99964049,17.61055266,25.21921133
7,1,4,32.48533681,23.08875281,26.86443573,27.46133681,18.03875281,25.99443573
7,1,5,33.00158411,23.20459867,27.21372428,27.97758411,18.15459867,26.34372428
7,1,6,33.4939226,23.65207728,27.84999797,28.4699226,18.60207728,26.97999797
7,1,7,33.96731645,23.7880567,28.22233515,28.94331645,18.7380567,27.35233515
7,2,1,36.18511683,26.3930623,30.41681844,31.16111683,21.3430623,29.54681844
7,2,2,36.80648974,26.91154526,30.95459478,31.78248974,21.86154526,30.08459478
7,2,3,37.41878012,27.39290928,31.62678027,32.39478012,22.34290928,30.75678027
7,2,4,37.75913912,27.56844426,31.99135499,32.73513912,22.51844426,31.12135499
7,2,5,38.37168294,27.99883969,32.62565284,33.34768294,22.94883969,31.75565284
7,2,6,38.76125362,28.19811875,33.03112093,33.73725362,23.14811875,32.16112093
7,2,7,39.15975982,28.37821813,33.4990259,34.13575982,23.32821813,32.6290259
7,3,1,41.8673423,31.69879743,35.8348242,36.8433423,26.64879743,34.9648242
7,3,2,42.43483128,31.98012818,36.78912495,37.41083128,26.93012818,35.91912495
7,3,3,42.84705987,32.37521127,37.05460331,37.82305987,27.32521127,36.18460331
7,3,4,43.39117018,32.7026916,37.65047156,38.36717018,27.6526916,36.78047156
7,3,5,43.81417893,32.94127242,38.01811854,38.79017893,27.89127242,37.14811854
7,3,6,44.22692736,33.29951154,38.47584909,39.20292736,28.24951154,37.60584909
7,3,7,44.60832048,33.48954226,38.94936374,39.58432048,28.43954226,38.07936374
7,4,1,47.42946709,36.97253086,41.61531032,42.40546709,31.92253086,40.74531032
7,4,2,47.80214547,37.1704113,42.01684817,42.77814547,32.1204113,41.14684817
7,4,3,48.35594886,37.67319328,42.48951156,43.33194886,32.62319328,41.61951156
7,4,4,48.72798452,37.77249738,42.9662394,43.70398452,32.72249738,42.0962394
7,4,5,49.12818186,38.00680808,43.47776734,44.10418186,32.95680808,42.60776734
7,4,6,49.52570798,38.35391506,43.97235407,44.50170798,33.30391506,43.10235407
7,4,7,50.03104267,38.64823917,44.40856574,45.00704267,33.59823917,43.53856574
7,5,1,52.79244053,41.97513582,47.27225974,47.76844053,36.92513582,46.40225974
7,5,2,53.32755352,42.42366855,47.55708538,48.30355352,37.37366855,46.68708538
7,5,3,53.72736248,42.50790015,48.06269359,48.70336248,37.45790015,47.19269359
7,5,4,54.09542718,42.80937769,48.57479033,49.07142718,37.75937769,47.70479033
7,5,5,54.54235777,43.1328729,49.14658955,49.51835777,38.0828729,48.27658955
7,5,6,55.08884727,43.49163062,49.49386017,50.06484727,38.44163062,48.62386017
7,5,7,55.45915834,43.73562575,49.99456924,50.43515834,38.68562575,49.12456924
7,6,1,58.39090952,47.18298447,52.60242799,53.36690952,42.13298447,51.73242799
7,6,2,58.90608331,47.79043569,53.14085029,53.88208331,42.74043569,52.27085029
7,6,3,59.2559451,47.95453006,53.61882453,54.2319451,42.90453006,52.74882453
7,6,4,59.61002037,48.17433318,54.17381731,54.58602037,43.12433318,53.30381731
7,6,5,60.15994783,48.58742806,54.5909851,55.13594783,43.53742806,53.7209851
7,6,6,60.55294436,48.83290904,55.04875266,55.52894436,43.78290904,54.17875266
7,6,7,60.9556929,49.09801677,55.55591955,55.9316929,44.04801677,54.68591955
7,7,1,63.85396546,52.42835086,58.37891745,58.82996546,47.37835086,57.50891745
7,7,2,64.25705264,52.85009546,58.957207,59.23305264,47.80009546,58.087207
7,7,3,64.66207825,53.08789968,59.47725987,59.63807825,48.03789968,58.60725987
7,7,4,65.13641671,53.49266795,59.68830086,60.11241671,48.44266795,58.81830086
7,7,5,65.62162916,53.80550048,60.26178535,60.59762916,48.75550048,59.39178535
7,7,6,65.95058039,54.07381304,60.68812351,60.92658039,49.02381304,59.81812351
7,7,7,66.45249444,54.37924538,61.02319535,61.42849444,49.32924538,60.15319535
1,7,1,37.51162389,40.58706966,25.72272178,32.48762389,35.53706966,24.85272178
1,7,2,41.26400583,40.77947115,27.89910238,36.24000583,35.72947115,27.02910238
1,7,3,40.76692623,41.20021035,29.75133047,35.74292623,36.15021035,28.88133047
1,7,4,41.87314219,41.48071007,32.87509048,36.84914219,36.43071007,32.00509048
1,7,5,43.82477134,41.81914894,32.87758146,38.80077134,36.76914894,32.00758146
1,7,6,43.52027307,42.20571181,35.12882907,38.49627307,37.15571181,34.25882907
1,7,7,45.81607194,42.16189563,39.1617369,40.79207194,37.11189563,38.2917369
2,7,1,46.64385467,43.07489232,36.18037966,41.61985467,38.02489232,35.31037966
2,7,2,47.31100884,43.68520323,33.92445077,42.28700884,38.63520323,33.05445077
2,7,3,47.62097748,43.86774221,36.59632606,42.59697748,38.81774221,35.72632606
2,7,4,48.03908738,44.07101655,38.350163,43.01508738,39.02101655,37.480163
2,7,5,48.38987937,44.32847332,39.86408374,43.36587937,39.27847332,38.99408374
2,7,6,48.79419464,44.38955826,42.52058979,43.77019464,39.33955826,41.65058979
2,7,7,49.22573184,44.64442918,44.451668,44.20173184,39.59442918,43.581668
3,7,1,50.11243684,45.02681082,42.51267981,45.08843684,39.97681082,41.64267981
3,7,2,50.50617172,45.35255225,45.32903095,45.48217172,40.30255225,44.45903095
3,7,3,51.0364396,45.72684199,44.68544679,46.0124396,40.67684199,43.81544679
3,7,4,51.33984186,45.80435373,48.18339065,46.31584186,40.75435373,47.31339065
3,7,5,51.86236725,46.25962073,47.5394193,46.83836725,41.20962073,46.6694193
3,7,6,51.94766866,45.58393527,49.55111176,46.92366866,40.53393527,48.68111176
3,7,7,52.38202729,46.05142656,49.99443035,47.35802729,41.00142656,49.12443035
4,7,1,53.556397,47.10254994,49.5243005,48.532397,42.05254994,48.6543005
4,7,2,54.06184547,47.46004645,49.62241421,49.03784547,42.41004645,48.75241421
4,7,3,54.36311639,47.43072383,51.08944525,49.33911639,42.38072383,50.21944525
4,7,4,54.73653935,47.29547293,51.41759199,49.71253935,42.24547293,50.54759199
4,7,5,55.20866907,47.98661473,51.94314267,50.18466907,42.93661473,51.07314267
4,7,6,55.59751034,47.95802083,52.43835302,50.57351034,42.90802083,51.56835302
4,7,7,56.08022932,48.26028137,52.83377898,51.05622932,43.21028137,51.96377898
5,7,1,56.90088536,48.6672248,53.0851943,51.87688536,43.6172248,52.2151943
5,7,2,57.35907345,48.92425463,53.23281423,52.33507345,43.87425463,52.36281423
5,7,3,57.7693986,49.26064875,53.84369767,52.7453986,44.21064875,52.97369767
5,7,4,58.0895039,49.33654761,54.19343288,53.0655039,44.28654761,53.32343288
5,7,5,58.50475759,49.63170957,54.72847603,53.48075759,44.58170957,53.85847603
5,7,6,58.95725329,49.9460476,55.03967072,53.93325329,44.8960476,54.16967072
5,7,7,59.39491934,50.33459246,55.58115178,54.37091934,45.28459246,54.71115178
6,7,1,60.52810971,50.69257466,55.75295539,55.50410971,45.64257466,54.88295539
6,7,2,61.02132654,50.95155091,56.08152795,55.99732654,45.90155091,55.21152795
6,7,3,61.39938423,51.25857071,56.53086533,56.37538423,46.20857071,55.66086533
6,7,4,61.72235614,51.47021515,56.99747892,56.69835614,46.42021515,56.12747892
6,7,5,62.27695412,51.8332094,57.38645586,57.25295412,46.7832094,56.51645586
6,7,6,62.64550882,52.13395249,57.88792951,57.62150882,47.08395249,57.01792951
6,7,7,62.96456947,52.38760332,58.30716867,57.94056947,47.33760332,57.43716867
1,1,7,12.23490288,10.75663027,10.83548437,7.210902876,5.706630266,9.965484372
1,2,7,17.69839141,15.71332818,16.56394312,12.67439141,10.66332818,15.69394312
1,3,7,23.33114361,20.95364789,21.93529284,18.30714361,15.90364789,21.06529284
1,4,7,28.9126681,26.28014282,27.06921407,23.8886681,21.23014282,26.19921407
1,5,7,34.61030924,31.67093315,29.27966909,29.58630924,26.62093315,28.40966909
1,6,7,40.06432241,36.98421248,36.94950384,35.04032241,31.93421248,36.07950384
2,1,7,15.68844454,13.05819091,13.91941434,10.66444454,8.008190905,13.04941434
2,2,7,21.16678788,18.06250246,19.41816001,16.14278788,13.01250246,18.54816001
2,3,7,26.58436001,22.90441169,25.03840575,21.56036001,17.85441169,24.16840575
2,4,7,32.27563236,28.49668672,30.54149908,27.25163236,23.44668672,29.67149908
2,5,7,37.67560336,33.61950961,36.11562549,32.65160336,28.56950961,35.24562549
2,6,7,43.4850941,39.19145342,41.10529186,38.4610941,34.14145342,40.23529186
3,1,7,19.34196477,15.3814356,16.75451038,14.31796477,10.3314356,15.88451038
3,2,7,24.71445676,20.11685373,22.3728581,19.69045676,15.06685373,21.5028581
3,3,7,30.27633521,25.30832555,27.76794512,25.25233521,20.25832555,26.89794512
3,4,7,35.7266562,30.16716813,33.33034932,30.7026562,25.11716813,32.46034932
3,5,7,41.38210308,35.77008017,38.87211897,36.35810308,30.72008017,38.00211897
